Name,Address Line 1,Address Line 2,City,State,Zip,Phone,Web Address,Recognition Status,Class open To,Delivery Mode
Anchorage Neighborhood Health Center,4951 Business Park Blvd.,,Anchorage ,AK,99503,(907) 743-7200,,Pending,Public Employees Other ,In-Person
University of Alaska Fairbanks Cooperative Extension Service,1675 C Street ,,Anchorage ,AK,99501,(907) 786-6300,http://www.uaf.edu/ces/districts/anchorage/,Full,Public ,In-Person
YMCA of Anchorage,5353 Lake Otis Parkway,,Anchorage,AK,99507,(907) 563-3211  Ext: 104 ,http://www.ymcaalaska.org,Full,Public ,In-Person
Tanana Chiefs Conference,Chief Andrew Isaac Health Center,1717 West Cowles St,Fairbanks ,AK,99701,(907) 451-6682  Ext: 3768 ,,Preliminary,Employees Members Other ,In-Person
Tanana Chiefs Conference,1717 W. Cowles St.,,Fairbanks ,AK,99701,(907) 451-6682  Ext: 3890 ,,Preliminary,Other ,Combination
Bartlett Regional Hospital  - Health Matters,3260 Hospital Dr.,,Juneau ,AK,99801,(907) 796-8649,,Full,Public ,In-Person
Kenaitze Indian Tribe,508 Upland St.,,Kenai ,AK,99611,(907) 335-7500,,Preliminary,Members ,In-Person
Ketchikan Indian Community,2960 Tongass Ave.,,Ketchikan ,AK,99901,(907) 228-9428,http://www.kictribe.org,Preliminary,Other ,In-Person
North Baldwin Infirmary,1815 Hand Ave.,,Bay Minette,AL,36507,(251) 580-1796,,Pending,Public Employees ,In-Person
Family Medical Services Pharmacy,1819 13th Ave. North,,Bessemer ,AL,35020,(205) 424-3194,http://fms-pharmacy.com,Pending,Public Employees Members ,Combination
Family Medical Services Pharmacy,1819 13th Ave. N,,Bessemer ,AL,35020,(205) 424-3194,http://fms-pharmacy.com,Pending,Public Employees Members ,In-Person
Pack Health,3613 6th Ave. S,,Birmigham ,AL,35222,(855) 255-2362,http://www.packhealth.com/,Pending,Public Employees Members ,OnLine
Birmingham YMCA,2400 7th Ave. North,,Birmingham ,AL,35203,(205) 324-1643,,Pending,Public Employees Members ,In-Person
Jefferson County Department of Health,1400 6th Ave. South,,Birmingham ,AL,35233,(205) 930-9110,,Pending,Employees Other ,In-Person
St. Vincent's Health System,7191 Cahaba Valley Rd.,,Birmingham ,AL,35242,(205) 408-6550,,Full,Public ,In-Person
UAB Weight Loss Medicine,"1201 11th Ave. South, Suite 515",,Birmingham ,AL,35205,(205) 934-7053  Ext: 0 ,,Pending,Public Employees Members ,In-Person
Cahaba Medical Care Foundation,405 Belcher St.,,Centreville ,AL,35042,(205) 926-2992,http://www.cahabamedicalcare.com,Pending,Public ,Combination
"Element Health, Inc.",7409 Brodbeck Ln.,,Fairhope ,AL,36532,(888) 963-9548,,Pending,Employees ,Distance Learning
Crestwood Medical Center,One Hospital Dr.,,Huntsville ,AL,35801,(256) 429-4943,,Preliminary,Public ,In-Person
Huntsville Hospital Diabetes Control Center,420 Lowell Dr.,Suite 500,Huntsville ,AL,35801,(256) 265-3068,,Pending,Employees ,In-Person
YMCA of Metropolitan Huntsville Al,120 Holmes Ave. NE Suite 301,,Huntsville ,AL,35801,(256) 428-9622  Ext: 3011 ,,Pending,Public Employees Members ,In-Person
Providence Hospital Diabetes Center,6801 Airport Blvd.,,Mobile ,AL,36685,(251) 633-1987,,Full,Public Employees ,In-Person
The Balm In Gilead - SDFI Alabama,807 Madison Ave.,,Montgomery ,AL,36104,(804) 644-2256,,Preliminary,Public ,In-Person
The Wellness Coalition,3060 Mobile Hwy.,,Montgomery ,AL,36108,(334) 293-6502,https://www.thewellnesscoalition.org/cyl2/,Full,Public ,In-Person
East Alabama Medical Center Diabetes and Nutrition Center,2422 Village Professional Dr.,,Opelika ,AL,36801,(334) 528-6800,,Preliminary,Public Employees ,In-Person
Health Quest Medical Wellness Center,515 Veterans Dr.,,Scottsboro ,AL,35768-2128,(256) 574-3067,,Pending,Public Other ,In-Person
"Section Pharmacy, Inc.",5295 Tammy Little Dr.,,Section ,AL,35771,(256) 228-7179,,Pending,Public ,In-Person
"Rural Health Medical Program, Inc.",101 Park Place,,Selma ,AL,36701,(334) 874-7428,,Preliminary,Public ,In-Person
HUBBARD PHARMACY,1351 W FORT WILLIAMS St.,,Sylacauga ,AL,35150,(256) 245-7708,,Pending,Public ,In-Person
"Whatley Health Services, Inc.",2731 M.L. King Jr Blvd.,,Tuscaloosa ,AL,35401-5235,(205) 758-6647,,Preliminary,Public ,In-Person
ARcare,623 North 9th St.,Suite 500,Augusta ,AR,72006,(870) 347-3468,,Preliminary,Public ,In-Person
Conway Regional Health System,2302 College Avenue,Building 2,Conway ,AR,72034,(501) 932-3236,,Preliminary,Public ,In-Person
Feed Communities Inc.,221 S Locust Ave.,,Fayetteville ,AR,72701,(479) 966-4790,,Pending,Public ,In-Person
Employers' Advance Cooperative on Healthcare,3600 Old Greenwood Rd #3,,Fort Smith,AR,72903,(479) 431-6762,,Preliminary,Employees Members ,In-Person
Hot Springs Family YMCA,130 Werner St.,,Hot Springs,AR,71913,(501) 623-8803,,Pending,Public ,In-Person
Arkansas Department of Health,4815 West Markham St.,Slot 6,Little Rock,AR,72205,(501) 661-2745,,Pending,Employees ,In-Person
Baptist Health Medical Center- Community Outreach,Community Outreach,9601 Baptist Health Dr.,Little Rock,AR,72205-7299,(501) 202-1540,,Preliminary,Public ,In-Person
University of AR Div of Ag Cooperative Extension,2301 South University Ave.,,Little Rock,AR,72204,(501) 671-2000,,Preliminary,Public ,In-Person
Drew Memorial Health System,778 Scogin Dr.,,Monticello ,AR,71655,(870) 460-3509,,Preliminary,Public ,In-Person
St.Bernard's Five Rivers Rural Health Clinic,2018 Hwy. 67 South,,Pocahontas ,AR,72455,(870) 892-6000,,Pending,Public Employees Members Other ,In-Person
Mercy Hospital Northwest Arkansas,2710 Rife Medical Ln.,,Rogers ,AR,72758,(479) 338-4103,http://www.mercy.net,Full,Public ,In-Person
Harding University COP DPP,915 E. Market Ave.,,Searcy ,AR,72149,(501) 279-5459,,Full,Public Employees ,In-Person
