,Prediction,Actual
674,0,0
1699,0,1
1282,0,1
1315,0,0
1210,1,1
1636,0,0
613,0,0
447,0,0
1131,0,0
808,0,1
1496,0,0
1468,1,1
1682,0,1
1149,0,0
442,0,0
1813,0,0
654,0,0
1264,0,0
858,0,1
1482,0,0
231,1,1
1821,0,0
1926,0,0
881,0,0
631,0,0
375,0,1
1960,0,0
367,0,0
558,1,0
275,0,0
1977,0,0
874,0,1
1678,0,1
730,0,1
573,0,0
718,0,0
577,1,1
56,0,1
868,0,0
1728,0,0
186,0,1
282,0,0
1138,1,1
1044,0,0
1068,0,1
1624,0,0
675,0,1
1701,0,0
1886,0,0
1824,0,0
1761,1,0
1418,0,0
587,0,0
192,0,1
693,0,1
764,0,0
671,0,0
899,0,1
1688,0,0
1071,0,1
304,0,0
120,1,1
1100,0,0
1256,0,0
1415,0,0
872,0,1
1270,0,0
535,0,1
729,0,0
1402,0,0
1811,0,0
1618,0,0
1842,0,1
1910,0,0
1440,0,0
1027,0,0
1369,1,0
1135,0,1
1437,0,0
774,0,0
325,0,0
655,0,1
102,0,0
126,1,0
1053,1,0
1227,0,1
927,0,0
48,0,1
111,0,1
236,0,1
372,0,0
994,0,0
285,0,0
1971,0,0
1712,0,0
560,0,1
1297,0,0
1464,1,0
877,0,0
87,0,0
1685,0,0
108,0,0
986,0,1
47,0,0
698,0,0
1954,0,0
1807,0,1
1342,0,0
700,0,0
1146,1,1
555,0,0
478,0,0
1480,0,0
1986,0,1
486,0,0
857,1,1
701,0,1
1086,0,0
1595,0,0
1087,0,1
1058,0,0
1231,0,0
1647,0,1
1219,0,0
827,0,1
1314,0,0
1247,0,0
1228,0,1
1944,0,0
950,0,1
1237,0,0
745,0,0
761,1,1
406,0,1
692,0,0
1065,1,0
1930,0,1
348,0,0
1786,0,0
169,0,0
887,0,1
480,0,1
1610,0,1
1334,0,0
512,0,0
1421,0,0
1166,0,1
1946,1,1
1073,0,0
1691,0,1
510,0,1
389,0,0
1657,0,1
1028,0,0
181,0,0
1540,0,0
1243,0,0
1862,0,0
612,0,1
1428,1,1
1109,0,0
1551,0,0
1167,0,0
623,1,0
137,0,0
1567,1,0
161,0,0
309,0,1
1262,0,0
748,0,1
697,0,0
1443,0,0
177,1,1
1561,0,0
270,1,1
525,0,0
987,0,0
846,0,0
563,0,0
1265,0,0
993,0,0
1602,1,1
661,1,1
1990,0,0
1015,1,0
1632,1,0
1291,0,0
1406,0,0
194,0,0
625,0,0
382,0,0
1518,0,0
1215,0,0
1547,0,0
258,0,0
75,0,0
190,0,0
321,0,1
972,0,1
926,0,0
541,0,1
1132,0,1
1582,0,1
1244,0,1
1947,1,0
860,0,0
1476,0,1
1785,0,0
1267,0,1
840,0,1
1634,0,0
1865,0,0
292,1,1
660,0,0
824,1,0
301,0,1
925,0,1
453,0,0
1778,0,0
943,0,0
1447,0,0
1528,1,0
1336,1,0
119,0,0
1898,0,0
37,0,1
861,1,1
1041,0,1
241,0,0
1554,0,0
1376,0,1
1246,0,1
1787,1,0
952,0,0
223,0,0
1051,0,0
779,0,1
1456,0,1
1271,0,0
1501,0,0
1546,1,0
614,0,1
507,0,0
1805,0,0
8,0,0
297,0,0
1017,0,1
922,0,0
1904,0,0
1639,0,1
386,0,1
331,0,0
1283,1,1
1706,0,1
1513,0,0
1172,0,1
1038,0,0
1735,0,1
737,0,0
202,0,0
1304,0,0
1646,0,0
60,0,0
1622,0,1
1638,0,0
1274,0,1
620,0,0
1361,0,0
1184,0,0
1162,0,0
368,0,0
1198,0,0
810,0,0
1204,1,0
1008,0,0
888,0,0
98,0,0
1668,0,1
260,0,0
1000,0,0
158,0,0
1548,0,0
547,0,0
1757,0,0
1403,0,1
1178,0,0
1899,1,1
396,0,0
1159,0,1
1006,0,0
1379,0,1
82,0,0
1593,0,0
982,0,0
1797,0,1
104,0,0
769,0,0
596,1,0
1338,0,0
432,0,0
403,0,0
1611,0,0
1882,0,1
1750,0,1
959,0,0
1475,0,0
1522,0,0
916,0,0
1730,0,1
1211,0,1
1871,0,0
133,0,0
227,0,1
1637,0,0
1395,1,1
91,0,0
579,0,1
902,0,0
11,0,1
900,0,0
1512,0,0
53,0,1
267,0,0
1681,0,0
1939,0,0
1988,0,0
428,0,0
1604,0,0
107,0,0
834,0,0
65,0,0
1825,0,0
1301,0,1
536,0,0
1470,0,0
167,0,0
957,1,0
366,0,1
598,0,1
264,0,1
351,0,0
421,0,0
1117,0,0
1983,1,0
1651,0,0
268,0,0
793,0,1
3,1,1
1381,0,0
1347,0,1
306,0,1
414,0,1
1950,0,1
644,0,0
17,0,0
248,0,0
572,0,0
931,0,0
757,0,1
1874,0,1
281,0,0
602,0,0
1189,1,1
1555,0,0
1739,0,0
299,0,0
1115,0,0
1617,0,0
702,0,1
302,0,0
1004,0,0
1627,0,0
341,0,0
585,0,0
1975,1,1
259,0,1
1663,0,0
1230,1,1
1839,0,0
415,0,1
140,0,0
165,0,1
527,0,0
1729,0,0
49,0,0
1081,0,0
1985,0,1
534,0,0
1852,0,0
1942,0,0
821,0,0
726,0,0
641,0,0
1956,0,0
1441,0,1
400,0,1
763,0,0
385,0,0
1667,0,1
1820,1,1
0,0,1
816,0,0
790,0,0
361,0,0
592,0,1
1675,0,0
115,0,1
1079,0,0
546,1,1
336,0,0
1225,0,1
1656,0,0
201,0,0
906,0,0
30,0,0
424,1,1
1583,0,0
1631,1,1
1153,0,1
1781,0,1
1754,0,1
608,1,0
1671,0,0
969,0,0
293,0,1
305,0,0
653,0,0
1463,0,1
146,0,0
968,0,1
330,0,0
1917,0,0
619,0,1
724,0,0
418,0,0
991,0,0
1705,0,0
1972,0,0
1141,0,0
353,0,0
1093,0,0
1279,0,0
1991,0,1
39,0,1
1890,0,0
1803,0,1
802,1,1
1047,1,1
80,0,0
434,0,0
705,0,0
1353,0,1
101,0,0
607,0,0
1083,0,0
1409,0,0
228,0,0
679,0,0
828,0,0
1733,0,0
801,0,0
1205,0,1
1698,0,0
1090,0,0
464,0,0
976,0,1
1390,0,0
1915,0,0
1830,0,0
233,0,0
984,0,0
804,0,0
1323,0,1
335,1,0
1365,0,1
1298,0,0
1629,0,0
553,0,0
1529,1,0
767,0,0
435,1,1
556,0,0
970,0,0
983,0,0
1653,0,1
283,0,1
303,1,1
446,0,0
622,0,0
966,0,0
885,0,1
913,0,1
40,0,0
1009,0,0
58,0,0
537,0,0
1450,1,1
1919,0,0
255,0,1
589,0,0
