name,address_line1,address_line2,city,state,zip,phone,Latitude,Longitude,web_address,recognition_status,patient_type,delivery_mode
Anchorage Neighborhood Health Center,4951 Business Park Blvd.,None,Anchorage ,AK,99503,(907) 743-7200,61.1759429,-149.88767919999998,Unavailable,Pending,Public Employees Other ,In-Person
University of Alaska Fairbanks Cooperative Extension Service,1675 C Street ,None,Anchorage ,AK,99501,(907) 786-6300,61.205926299999994,-149.8863804,http://www.uaf.edu/ces/districts/anchorage/,Full,Public ,In-Person
YMCA of Anchorage,5353 Lake Otis Parkway,None,Anchorage,AK,99507,(907) 563-3211  Ext: 104 ,61.17215649999999,-149.83474099999998,http://www.ymcaalaska.org,Full,Public ,In-Person
Tanana Chiefs Conference,Chief Andrew Isaac Health Center,1717 West Cowles St,Fairbanks ,AK,99701,(907) 451-6682  Ext: 3768 ,64.83247560000001,-147.7452235,Unavailable,Preliminary,Employees Members Other ,In-Person
Tanana Chiefs Conference,1717 W. Cowles St.,None,Fairbanks ,AK,99701,(907) 451-6682  Ext: 3890 ,64.832514,-147.7443619,Unavailable,Preliminary,Other ,Combination
Bartlett Regional Hospital  - Health Matters,3260 Hospital Dr.,None,Juneau ,AK,99801,(907) 796-8649,58.32901640000001,-134.4649167,Unavailable,Full,Public ,In-Person
Kenaitze Indian Tribe,508 Upland St.,None,Kenai ,AK,99611,(907) 335-7500,,,Unavailable,Preliminary,Members ,In-Person
Ketchikan Indian Community,2960 Tongass Ave.,None,Ketchikan ,AK,99901,(907) 228-9428,55.352661899999994,-131.68484850000002,http://www.kictribe.org,Preliminary,Other ,In-Person
North Baldwin Infirmary,1815 Hand Ave.,None,Bay Minette,AL,36507,(251) 580-1796,29.2500401,-81.10904190000001,Unavailable,Pending,Public Employees ,In-Person
Family Medical Services Pharmacy,1819 13th Ave. North,None,Bessemer ,AL,35020,(205) 424-3194,33.408326300000006,-86.9662319,http://fms-pharmacy.com,Pending,Public Employees Members ,Combination
Family Medical Services Pharmacy,1819 13th Ave. N,None,Bessemer ,AL,35020,(205) 424-3194,33.408326300000006,-86.9662319,http://fms-pharmacy.com,Pending,Public Employees Members ,In-Person
Pack Health,3613 6th Ave. S,None,Birmigham ,AL,35222,(855) 255-2362,27.7648561,-82.6824752,http://www.packhealth.com/,Pending,Public Employees Members ,OnLine
Birmingham YMCA,2400 7th Ave. North,None,Birmingham ,AL,35203,(205) 324-1643,33.5235918,-86.80406409999998,Unavailable,Pending,Public Employees Members ,In-Person
Jefferson County Department of Health,1400 6th Ave. South,None,Birmingham ,AL,35233,(205) 930-9110,33.5037653,-86.8081469,Unavailable,Pending,Employees Other ,In-Person
St. Vincent's Health System,7191 Cahaba Valley Rd.,None,Birmingham ,AL,35242,(205) 408-6550,33.427096500000005,-86.66693120000002,Unavailable,Full,Public ,In-Person
UAB Weight Loss Medicine,"1201 11th Ave. South, Suite 515",None,Birmingham ,AL,35205,(205) 934-7053  Ext: 0 ,,,Unavailable,Pending,Public Employees Members ,In-Person
Cahaba Medical Care Foundation,405 Belcher St.,None,Centreville ,AL,35042,(205) 926-2992,32.9503261,-87.14735440000001,http://www.cahabamedicalcare.com,Pending,Public ,Combination
"Element Health, Inc.",7409 Brodbeck Ln.,None,Fairhope ,AL,36532,(888) 963-9548,30.4943702,-87.8995396,Unavailable,Pending,Employees ,Distance Learning
Crestwood Medical Center,One Hospital Dr.,None,Huntsville ,AL,35801,(256) 429-4943,38.9386955,-92.3275514,Unavailable,Preliminary,Public ,In-Person
Huntsville Hospital Diabetes Control Center,420 Lowell Dr.,Suite 500,Huntsville ,AL,35801,(256) 265-3068,34.7215448,-86.5753227,Unavailable,Pending,Employees ,In-Person
YMCA of Metropolitan Huntsville Al,120 Holmes Ave. NE Suite 301,None,Huntsville ,AL,35801,(256) 428-9622  Ext: 3011 ,34.7323373,-86.5863947,Unavailable,Pending,Public Employees Members ,In-Person
Providence Hospital Diabetes Center,6801 Airport Blvd.,None,Mobile ,AL,36685,(251) 633-1987,30.678913800000004,-88.1987853,Unavailable,Full,Public Employees ,In-Person
The Balm In Gilead - SDFI Alabama,807 Madison Ave.,None,Montgomery ,AL,36104,(804) 644-2256,40.768936700000005,-73.9671807,Unavailable,Preliminary,Public ,In-Person
The Wellness Coalition,3060 Mobile Hwy.,None,Montgomery ,AL,36108,(334) 293-6502,32.3493044,-86.33965649999998,https://www.thewellnesscoalition.org/cyl2/,Full,Public ,In-Person
East Alabama Medical Center Diabetes and Nutrition Center,2422 Village Professional Dr.,None,Opelika ,AL,36801,(334) 528-6800,32.6447475,-85.4128923,Unavailable,Preliminary,Public Employees ,In-Person
Health Quest Medical Wellness Center,515 Veterans Dr.,None,Scottsboro ,AL,35768-2128,(256) 574-3067,34.6701552,-86.02266,Unavailable,Pending,Public Other ,In-Person
"Section Pharmacy, Inc.",5295 Tammy Little Dr.,None,Section ,AL,35771,(256) 228-7179,34.584371000000004,-85.98881259999999,Unavailable,Pending,Public ,In-Person
"Rural Health Medical Program, Inc.",101 Park Place,None,Selma ,AL,36701,(334) 874-7428,41.040337,-73.54090200000002,Unavailable,Preliminary,Public ,In-Person
HUBBARD PHARMACY,1351 W FORT WILLIAMS St.,None,Sylacauga ,AL,35150,(256) 245-7708,33.1647239,-86.27310870000001,Unavailable,Pending,Public ,In-Person
"Whatley Health Services, Inc.",2731 M.L. King Jr Blvd.,None,Tuscaloosa ,AL,35401-5235,(205) 758-6647,33.1860822,-87.57753489999997,Unavailable,Preliminary,Public ,In-Person
ARcare,623 North 9th St.,Suite 500,Augusta ,AR,72006,(870) 347-3468,36.182082,-86.7583911,Unavailable,Preliminary,Public ,In-Person
Conway Regional Health System,2302 College Avenue,Building 2,Conway ,AR,72034,(501) 932-3236,35.0859847,-92.4576613,Unavailable,Preliminary,Public ,In-Person
Feed Communities Inc.,221 S Locust Ave.,None,Fayetteville ,AR,72701,(479) 966-4790,36.060272600000005,-94.1634142,Unavailable,Pending,Public ,In-Person
Employers' Advance Cooperative on Healthcare,3600 Old Greenwood Rd #3,None,Fort Smith,AR,72903,(479) 431-6762,35.347649100000005,-94.39462270000001,Unavailable,Preliminary,Employees Members ,In-Person
Hot Springs Family YMCA,130 Werner St.,None,Hot Springs,AR,71913,(501) 623-8803,34.46707749999999,-93.0622231,Unavailable,Pending,Public ,In-Person
Arkansas Department of Health,4815 West Markham St.,Slot 6,Little Rock,AR,72205,(501) 661-2745,34.749789899999996,-92.3265533,Unavailable,Pending,Employees ,In-Person
Baptist Health Medical Center- Community Outreach,Community Outreach,9601 Baptist Health Dr.,Little Rock,AR,72205-7299,(501) 202-1540,37.84017160000001,-94.3566717,Unavailable,Preliminary,Public ,In-Person
University of AR Div of Ag Cooperative Extension,2301 South University Ave.,None,Little Rock,AR,72204,(501) 671-2000,34.7306867,-92.34027490000001,Unavailable,Preliminary,Public ,In-Person
Drew Memorial Health System,778 Scogin Dr.,None,Monticello ,AR,71655,(870) 460-3509,33.610760299999995,-91.8170545,Unavailable,Preliminary,Public ,In-Person
St.Bernard's Five Rivers Rural Health Clinic,2018 Hwy. 67 South,None,Pocahontas ,AR,72455,(870) 892-6000,,,Unavailable,Pending,Public Employees Members Other ,In-Person
Mercy Hospital Northwest Arkansas,2710 Rife Medical Ln.,None,Rogers ,AR,72758,(479) 338-4103,36.3099923,-94.1840167,http://www.mercy.net,Full,Public ,In-Person
Harding University COP DPP,915 E. Market Ave.,None,Searcy ,AR,72149,(501) 279-5459,35.2491804,-91.7263201,Unavailable,Full,Public Employees ,In-Person
Arkansas Coalition of Marshallese,614 E Emma Ave. Suite 113,None,Springdale ,AR,72764,(479) 365-6625,36.185448,-94.1228329,Unavailable,Full,Public Other ,In-Person
"East Arkansas Family Health Center, Inc",900 North 7th St.,None,West Memphis,AR,72301,(870) 735-3842  Ext: 6382 ,35.1544521,-90.1764112,Unavailable,Pending,Public Employees ,In-Person
Healthy Lifestyle Partnership,15451 Jones Branch Rd.,None,Winslow ,AR,72959,(479) 200-1908,35.8559119,-94.09553000000001,Unavailable,Full,Public Employees Members Other ,In-Person
Chinle Comprehensive Health Care Facility,HWY 191 AND HOSPITAL Dr.,None,Chinle ,AZ,86503,(928) 674-7529,36.15444829999999,-109.5526072,Unavailable,Preliminary,Public Employees Other ,In-Person
"Uhling Consulting, LLC",20325 N 51st Ave.,Suite 166,Glendale ,AZ,85308,(602) 341-5248,33.6701729,-112.16838349999999,Unavailable,Preliminary,Public Employees Members ,In-Person
Integrated Wellness Club,1968 mesquite Ave.,None,Lake Havasu City,AZ,86403,(480) 703-4227,34.4780704,-114.3328896,Unavailable,Pending,Public Employees Members Other ,In-Person
Mariposa Community Health Center,1852 N mastick Way,None,Nogales ,AZ,85621,(520) 281-1550,31.36575119999999,-110.9333863,Unavailable,Preliminary,Public ,In-Person
Hualapai Health Education and Wellness- EW4H,926 Hualapai Way,P.O. Box 179,Peach Springs,AZ,86434-0179,(928) 769-1630,36.16003920000001,-115.3140775,Unavailable,Pending,Public Employees Other ,In-Person
Adelante Healthcare,3033 N Central Ave.,Suite 145,Phoenix ,AZ,85012,(877) 809-5092,33.4837755,-112.07343459999998,Unavailable,Pending,Public Employees ,Combination
Arizona F.A.C.T.S.  of Life,1122 East Buckeye Rd. Suite A4,None,Phoenix ,AZ,85034,(602) 254-2704,33.4371553,-112.0576507,Unavailable,Preliminary,Public ,In-Person
